20:40:41 [background-preinit] INFO    --- o.h.v.i.u.Version - HV000001: Hibernate Validator 6.2.2.Final
20:40:41 [main] INFO    --- c.j.j.Java16GiraMinhhaiApplicationTests - Starting Java16GiraMinhhaiApplicationTests using Java 17.0.2 on LAPTOP-34OI0SEB with PID 9208 (started by HAI in D:\cybersoft\java16-gira-minhhai)
20:40:41 [main] DEBUG   --- c.j.j.Java16GiraMinhhaiApplicationTests - Running with Spring Boot v2.5.10, Spring v5.3.16
20:40:41 [main] INFO    --- c.j.j.Java16GiraMinhhaiApplicationTests - No active profile set, falling back to 1 default profile: "default"
20:40:43 [main] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
20:40:43 [main] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 148 ms. Found 3 JPA repository interfaces.
20:40:45 [main] INFO    --- o.f.c.i.l.VersionPrinter - Flyway Community Edition 7.7.3 by Redgate
20:40:45 [main] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Starting...
20:40:45 [main] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Start completed.
20:40:45 [main] INFO    --- o.f.c.i.d.b.DatabaseType - Database: jdbc:postgresql://localhost:5432/gira (PostgreSQL 14.2)
20:40:45 [main] WARN    --- o.f.c.i.d.b.Database - Flyway upgrade recommended: org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@38ef1a0a 14.2 is newer than this version of Flyway and support has not been tested. The latest supported version of org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@38ef1a0a is 13.
20:40:45 [main] INFO    --- o.f.c.i.c.DbValidate - Successfully validated 3 migrations (execution time 00:00.061s)
20:40:45 [main] INFO    --- o.f.c.i.c.DbMigrate - Current version of schema "public": 3
20:40:45 [main] WARN    --- o.f.c.i.c.DbMigrate - Schema "public" has a version (3) that is newer than the latest available migration (2) !
20:40:45 [main] INFO    --- o.f.c.i.c.DbMigrate - Schema "public" is up to date. No migration necessary.
20:40:45 [main] INFO    --- o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
20:40:45 [main] INFO    --- o.h.Version - HHH000412: Hibernate ORM core version 5.4.33
20:40:46 [main] INFO    --- o.h.a.c.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
20:40:46 [main] INFO    --- o.h.d.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
20:40:47 [main] INFO    --- o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
20:40:47 [main] INFO    --- o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
20:40:48 [main] WARN    --- o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
20:40:49 [main] INFO    --- o.s.b.a.e.w.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
20:40:49 [main] INFO    --- s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
20:40:50 [main] INFO    --- o.s.s.w.DefaultSecurityFilterChain - Will not secure Ant [pattern='/api/v1/**']
20:40:50 [main] INFO    --- s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
20:40:50 [main] INFO    --- s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
20:40:51 [main] INFO    --- s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
20:40:51 [main] INFO    --- c.j.j.Java16GiraMinhhaiApplicationTests - Started Java16GiraMinhhaiApplicationTests in 9.993 seconds (JVM running for 11.466)
20:40:51 [main] INFO    --- o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cybersoft.javabackend.java16giraminhhai.role.repository.GiraGroupRepositoryTest], using SpringBootContextLoader
20:40:51 [main] INFO    --- o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [cybersoft.javabackend.java16giraminhhai.role.repository.GiraGroupRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
20:40:51 [main] INFO    --- o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cybersoft.javabackend.java16giraminhhai.role.repository.GiraGroupRepositoryTest]: GiraGroupRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
20:40:51 [main] INFO    --- o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cybersoft.javabackend.java16giraminhhai.Java16GiraMinhhaiApplication for test class cybersoft.javabackend.java16giraminhhai.role.repository.GiraGroupRepositoryTest
20:40:51 [main] INFO    --- o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
20:40:51 [main] INFO    --- o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@155788a7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6cd8aee2, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@28f33810, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@476d5f2e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6e56f5d4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4750e942, org.springframework.test.context.transaction.TransactionalTestExecutionListener@76527a00, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5bebdfcb, org.springframework.test.context.event.EventPublishingTestExecutionListener@2ca6937, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@42908ad5, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@27777afd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@22e7ec5f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7335aae5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@35355074, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@290964bd, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3411e0d7, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6a2d0632]
20:40:51 [main] INFO    --- o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cybersoft.javabackend.java16giraminhhai.role.repository.GiraRoleRepositoryTest], using SpringBootContextLoader
20:40:51 [main] INFO    --- o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [cybersoft.javabackend.java16giraminhhai.role.repository.GiraRoleRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
20:40:51 [main] INFO    --- o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cybersoft.javabackend.java16giraminhhai.role.repository.GiraRoleRepositoryTest]: GiraRoleRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
20:40:51 [main] INFO    --- o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cybersoft.javabackend.java16giraminhhai.Java16GiraMinhhaiApplication for test class cybersoft.javabackend.java16giraminhhai.role.repository.GiraRoleRepositoryTest
