19:50:16 [background-preinit] INFO    --- o.h.v.i.u.Version - HV000001: Hibernate Validator 6.2.2.Final
19:50:16 [main] INFO    --- c.j.j.Java16GiraMinhhaiApplicationTests - Starting Java16GiraMinhhaiApplicationTests using Java 17.0.2 on LAPTOP-34OI0SEB with PID 5700 (started by HAI in D:\cybersoft\java16-gira-minhhai)
19:50:16 [main] DEBUG   --- c.j.j.Java16GiraMinhhaiApplicationTests - Running with Spring Boot v2.5.10, Spring v5.3.16
19:50:16 [main] INFO    --- c.j.j.Java16GiraMinhhaiApplicationTests - No active profile set, falling back to 1 default profile: "default"
19:50:18 [main] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
19:50:18 [main] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 105 ms. Found 3 JPA repository interfaces.
19:50:19 [main] INFO    --- o.f.c.i.l.VersionPrinter - Flyway Community Edition 7.7.3 by Redgate
19:50:19 [main] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Starting...
19:50:19 [main] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Start completed.
19:50:19 [main] INFO    --- o.f.c.i.d.b.DatabaseType - Database: jdbc:postgresql://localhost:5432/gira (PostgreSQL 14.2)
19:50:19 [main] WARN    --- o.f.c.i.d.b.Database - Flyway upgrade recommended: org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@4269aad7 14.2 is newer than this version of Flyway and support has not been tested. The latest supported version of org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@4269aad7 is 13.
19:50:19 [main] INFO    --- o.f.c.i.c.DbValidate - Successfully validated 3 migrations (execution time 00:00.070s)
19:50:19 [main] INFO    --- o.f.c.i.c.DbMigrate - Current version of schema "public": 3
19:50:19 [main] WARN    --- o.f.c.i.c.DbMigrate - Schema "public" has a version (3) that is newer than the latest available migration (2) !
19:50:19 [main] INFO    --- o.f.c.i.c.DbMigrate - Schema "public" is up to date. No migration necessary.
19:50:19 [main] INFO    --- o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
19:50:19 [main] INFO    --- o.h.Version - HHH000412: Hibernate ORM core version 5.4.33
19:50:20 [main] INFO    --- o.h.a.c.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
19:50:20 [main] INFO    --- o.h.d.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
19:50:21 [main] INFO    --- o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
19:50:21 [main] INFO    --- o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
19:50:22 [main] WARN    --- o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
19:50:23 [main] INFO    --- o.s.b.a.e.w.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
19:50:23 [main] INFO    --- s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
19:50:23 [main] INFO    --- o.s.s.w.DefaultSecurityFilterChain - Will not secure Ant [pattern='/api/v1/**']
19:50:24 [main] INFO    --- s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
19:50:24 [main] INFO    --- s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
19:50:24 [main] INFO    --- s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
19:50:24 [main] INFO    --- c.j.j.Java16GiraMinhhaiApplicationTests - Started Java16GiraMinhhaiApplicationTests in 9.421 seconds (JVM running for 10.934)
19:50:25 [main] INFO    --- o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cybersoft.javabackend.java16giraminhhai.role.repository.GiraGroupRepositoryTest], using SpringBootContextLoader
19:50:25 [main] INFO    --- o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [cybersoft.javabackend.java16giraminhhai.role.repository.GiraGroupRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
19:50:25 [main] INFO    --- o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cybersoft.javabackend.java16giraminhhai.role.repository.GiraGroupRepositoryTest]: GiraGroupRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:50:25 [main] INFO    --- o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cybersoft.javabackend.java16giraminhhai.Java16GiraMinhhaiApplication for test class cybersoft.javabackend.java16giraminhhai.role.repository.GiraGroupRepositoryTest
