20:35:59 [background-preinit] INFO    --- o.h.v.i.u.Version - HV000001: Hibernate Validator 6.2.2.Final
20:35:59 [main] INFO    --- c.j.j.Java16GiraMinhhaiApplication - Starting Java16GiraMinhhaiApplication using Java 17.0.2 on LAPTOP-34OI0SEB with PID 14012 (D:\cybersoft\java16-gira-minhhai\target\classes started by HAI in D:\cybersoft\java16-gira-minhhai)
20:35:59 [main] DEBUG   --- c.j.j.Java16GiraMinhhaiApplication - Running with Spring Boot v2.5.10, Spring v5.3.16
20:35:59 [main] INFO    --- c.j.j.Java16GiraMinhhaiApplication - No active profile set, falling back to 1 default profile: "default"
20:36:00 [main] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
20:36:00 [main] INFO    --- o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 3 JPA repository interfaces.
20:36:01 [main] INFO    --- o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
20:36:01 [main] INFO    --- o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
20:36:01 [main] INFO    --- o.a.c.c.StandardService - Starting service [Tomcat]
20:36:01 [main] INFO    --- o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
20:36:01 [main] INFO    --- o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
20:36:01 [main] INFO    --- o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1821 ms
20:36:01 [main] INFO    --- o.f.c.i.l.VersionPrinter - Flyway Community Edition 7.7.3 by Redgate
20:36:01 [main] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Starting...
20:36:01 [main] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Start completed.
20:36:02 [main] INFO    --- o.f.c.i.d.b.DatabaseType - Database: jdbc:postgresql://localhost:5432/gira (PostgreSQL 14.2)
20:36:02 [main] WARN    --- o.f.c.i.d.b.Database - Flyway upgrade recommended: org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@1a89414e 14.2 is newer than this version of Flyway and support has not been tested. The latest supported version of org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@1a89414e is 13.
20:36:02 [main] INFO    --- o.f.c.i.c.DbValidate - Successfully validated 3 migrations (execution time 00:00.027s)
20:36:02 [main] INFO    --- o.f.c.i.c.DbMigrate - Current version of schema "public": 3
20:36:02 [main] WARN    --- o.f.c.i.c.DbMigrate - Schema "public" has a version (3) that is newer than the latest available migration (2) !
20:36:02 [main] INFO    --- o.f.c.i.c.DbMigrate - Schema "public" is up to date. No migration necessary.
20:36:02 [main] INFO    --- o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
20:36:02 [main] INFO    --- o.h.Version - HHH000412: Hibernate ORM core version 5.4.33
20:36:02 [main] INFO    --- o.h.a.c.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
20:36:02 [main] INFO    --- o.h.d.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
20:36:03 [main] INFO    --- o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
20:36:03 [main] INFO    --- o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
20:36:03 [main] DEBUG   --- c.j.j.s.j.JwtAuthorizationFilter - Filter 'jwtAuthorizationFilter' configured for use
20:36:03 [main] WARN    --- o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
20:36:04 [main] INFO    --- o.s.b.a.e.w.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
20:36:04 [main] INFO    --- s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
20:36:04 [main] INFO    --- o.s.s.w.DefaultSecurityFilterChain - Will not secure Ant [pattern='/api/v1/**']
20:36:04 [main] INFO    --- o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
20:36:04 [main] INFO    --- o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
20:36:04 [main] INFO    --- s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
20:36:04 [main] INFO    --- s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
20:36:04 [main] INFO    --- s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
20:36:05 [main] INFO    --- c.j.j.Java16GiraMinhhaiApplication - Started Java16GiraMinhhaiApplication in 5.808 seconds (JVM running for 6.539)
20:36:06 [RMI TCP Connection(3)-127.0.0.1] INFO    --- o.a.c.c.C.[.[.[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
20:36:06 [RMI TCP Connection(3)-127.0.0.1] INFO    --- o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
20:36:06 [RMI TCP Connection(3)-127.0.0.1] INFO    --- o.s.w.s.DispatcherServlet - Completed initialization in 2 ms
20:36:14 [RMI TCP Connection(2)-127.0.0.1] INFO    --- o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
20:36:14 [RMI TCP Connection(2)-127.0.0.1] INFO    --- o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
20:36:14 [RMI TCP Connection(2)-127.0.0.1] INFO    --- c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated...
